Source,Type,Target,Weight
1-й курортник,Undirected,1-я курортница,1
1-й курортник,Undirected,2-я курортница,1
1-й курортник,Undirected,Доктор,1
1-й курортник,Undirected,Сестра развлечения,1
1-й придворный (палач),Undirected,1-я дама,3
1-й придворный (палач),Undirected,2-й придворный,2
1-й придворный (палач),Undirected,3-й придворный,1
1-й придворный (палач),Undirected,Аннунциата,2
1-й придворный (палач),Undirected,Доктор,2
1-й придворный (палач),Undirected,Капрал,1
1-й придворный (палач),Undirected,Лакей,2
1-й придворный (палач),Undirected,Мажордом,4
1-й придворный (палач),Undirected,Министр финансов,1
1-й придворный (палач),Undirected,Первый министр,2
1-й придворный (палач),Undirected,Придворные,2
1-й придворный (палач),Undirected,Принцесса,2
1-й придворный (палач),Undirected,Пьетро,3
1-й придворный (палач),Undirected,Тайный советник,1
1-й придворный (палач),Undirected,Тень,2
1-й придворный (палач),Undirected,Ученый,1
1-й придворный (палач),Undirected,Цезарь Борджиа,1
1-й придворный (палач),Undirected,Юлия Джули,2
1-й человек из толпы,Undirected,1-я женщина,1
1-й человек из толпы,Undirected,2-й человек из толпы,1
1-й человек из толпы,Undirected,2-я женщина,1
1-й человек из толпы,Undirected,Капрал,1
1-й человек из толпы,Undirected,Маленький человек,1
1-й человек из толпы,Undirected,Очень длинный человек,1
1-й человек из толпы,Undirected,Пьетро,1
1-й человек из толпы,Undirected,Толпа,1
1-й человек из толпы,Undirected,Ученый,1
1-я дама,Undirected,2-й придворный,2
1-я дама,Undirected,3-й придворный,1
1-я дама,Undirected,Лакей,2
1-я дама,Undirected,Мажордом,2
1-я дама,Undirected,Придворные,1
1-я дама,Undirected,Пьетро,2
1-я дама,Undirected,Цезарь Борджиа,1
1-я женщина,Undirected,2-й человек из толпы,1
1-я женщина,Undirected,2-я женщина,1
1-я женщина,Undirected,Маленький человек,1
1-я женщина,Undirected,Очень длинный человек,1
1-я женщина,Undirected,Пьетро,1
1-я женщина,Undirected,Толпа,1
1-я курортница,Undirected,2-я курортница,1
1-я курортница,Undirected,Доктор,1
1-я курортница,Undirected,Сестра развлечения,1
2-й придворный,Undirected,3-й придворный,1
2-й придворный,Undirected,Лакей,2
2-й придворный,Undirected,Мажордом,2
2-й придворный,Undirected,Придворные,1
2-й придворный,Undirected,Пьетро,2
2-й придворный,Undirected,Цезарь Борджиа,1
2-й человек из толпы,Undirected,2-я женщина,1
2-й человек из толпы,Undirected,Маленький человек,1
2-й человек из толпы,Undirected,Очень длинный человек,1
2-й человек из толпы,Undirected,Пьетро,1
2-й человек из толпы,Undirected,Толпа,1
2-я женщина,Undirected,Маленький человек,1
2-я женщина,Undirected,Очень длинный человек,1
2-я женщина,Undirected,Пьетро,1
2-я женщина,Undirected,Толпа,1
2-я курортница,Undirected,Доктор,1
2-я курортница,Undirected,Сестра развлечения,1
3-й придворный,Undirected,Лакей,1
3-й придворный,Undirected,Мажордом,1
3-й придворный,Undirected,Придворные,1
3-й придворный,Undirected,Пьетро,1
3-й придворный,Undirected,Цезарь Борджиа,1
Аннунциата,Undirected,Доктор,7
Аннунциата,Undirected,Капрал,2
Аннунциата,Undirected,Мажордом,4
Аннунциата,Undirected,Министр финансов,4
Аннунциата,Undirected,Первый министр,5
Аннунциата,Undirected,Придворные,3
Аннунциата,Undirected,Принцесса,5
Аннунциата,Undirected,Пьетро,8
Аннунциата,Undirected,Тайный советник,3
Аннунциата,Undirected,Тень,6
Аннунциата,Undirected,Ученый,13
Аннунциата,Undirected,Цезарь Борджиа,4
Аннунциата,Undirected,Юлия Джули,12
Доктор,Undirected,Капрал,1
Доктор,Undirected,Мажордом,4
Доктор,Undirected,Министр финансов,2
Доктор,Undirected,Первый министр,4
Доктор,Undirected,Придворные,2
Доктор,Undirected,Принцесса,5
Доктор,Undirected,Пьетро,2
Доктор,Undirected,Сестра развлечения,1
Доктор,Undirected,Тайный советник,2
Доктор,Undirected,Тень,5
Доктор,Undirected,Ученый,5
Доктор,Undirected,Юлия Джули,6
Капрал,Undirected,Мажордом,1
Капрал,Undirected,Министр финансов,1
Капрал,Undirected,Первый министр,2
Капрал,Undirected,Придворные,2
Капрал,Undirected,Принцесса,2
Капрал,Undirected,Пьетро,3
Капрал,Undirected,Тайный советник,2
Капрал,Undirected,Тень,3
Капрал,Undirected,Ученый,4
Капрал,Undirected,Цезарь Борджиа,1
Капрал,Undirected,Юлия Джули,1
Лакей,Undirected,Мажордом,3
Лакей,Undirected,Министр финансов,1
Лакей,Undirected,Первый министр,1
Лакей,Undirected,Придворные,1
Лакей,Undirected,Пьетро,2
